user_played, instrument_name, velocity, pitch, start (s), end (s)
False,piano,64,58,0.0,6.04450153125
False,piano,64,61,0.0,6.04450153125
False,piano,64,65,0.0,6.04450153125
True,piano,64,42,0.0,6.04450153125
True,piano,64,54,0.0,6.04450153125
False,piano,64,61,0.9090900000000001,1.21117303125
False,piano,64,63,1.21212,1.51420303125
False,piano,64,65,1.51515,1.81723303125
False,piano,64,65,1.8181800000000001,2.72632303125
False,piano,64,61,2.72727,3.02935303125
False,piano,64,63,3.0303,3.33238303125
False,piano,64,65,3.33333,3.63541303125
False,piano,64,65,3.6363600000000003,5.4535930312500005
False,piano,76,56,6.36363,7.27177303125
False,piano,76,60,6.36363,7.27177303125
False,piano,76,65,6.36363,7.27177303125
True,piano,76,41,6.36363,7.27177303125
True,piano,76,53,6.36363,7.27177303125
False,piano,64,58,7.2727200000000005,13.31722153125
False,piano,64,61,7.2727200000000005,13.31722153125
False,piano,64,65,7.2727200000000005,13.31722153125
True,piano,64,42,7.2727200000000005,13.31722153125
True,piano,64,54,7.2727200000000005,13.31722153125
False,piano,64,61,8.18181,8.48389303125
False,piano,64,63,8.48484,8.78692303125
False,piano,64,65,8.78787,9.08995303125
False,piano,64,65,9.0909,9.77177053125
False,piano,64,61,9.99999,10.30207303125
False,piano,64,63,10.30302,10.60510303125
False,piano,64,65,10.60605,10.90813303125
False,piano,64,66,10.90908,11.24904178125
False,piano,64,65,11.24998875,11.58995053125
False,piano,64,63,11.70453375,11.930859281250001
False,piano,64,61,11.931806250000001,12.27176803125
False,piano,64,58,12.272715,12.49904053125
False,piano,64,56,12.4999875,12.726313031250001
False,piano,64,58,12.72726,13.86267553125
False,piano,76,56,13.63635,14.544493031250001
False,piano,76,60,13.63635,14.544493031250001
False,piano,76,65,13.63635,14.544493031250001
True,piano,76,41,13.63635,14.544493031250001
True,piano,76,53,13.63635,14.544493031250001
False,piano,64,58,14.545440000000001,15.40812853125
False,piano,64,61,14.545440000000001,15.40812853125
False,piano,64,65,14.545440000000001,15.40812853125
True,piano,64,42,14.545440000000001,15.40812853125
True,piano,64,54,14.545440000000001,15.40812853125
False,piano,64,61,15.45453,15.75661303125
False,piano,76,58,15.45453,20.68085053125
False,piano,76,60,15.45453,20.68085053125
False,piano,76,61,15.45453,20.68085053125
False,piano,76,65,15.45453,20.68085053125
True,piano,76,44,15.45453,20.68085053125
True,piano,76,56,15.45453,20.68085053125
False,piano,64,63,15.75756,16.05964303125
False,piano,64,65,16.06059,16.36267303125
False,piano,64,65,16.36362,17.044490531250002
False,piano,64,56,17.045437500000002,17.27176303125
False,piano,64,61,17.27271,17.57479303125
False,piano,64,63,17.57574,17.87782303125
False,piano,64,65,17.87877,18.18085303125
False,piano,64,65,18.1818,18.63539803125
False,piano,64,68,18.636345,19.77176053125
False,piano,64,70,19.7727075,19.88539678125
False,piano,76,56,20.90907,21.81721303125
False,piano,76,60,20.90907,21.81721303125
False,piano,76,65,20.90907,21.81721303125
True,piano,76,41,20.90907,21.81721303125
True,piano,76,53,20.90907,21.81721303125
False,piano,64,58,21.81816,22.271758031250002
False,piano,64,58,21.81816,22.68084853125
False,piano,64,61,21.81816,22.68084853125
False,piano,64,65,21.81816,22.68084853125
True,piano,64,42,21.81816,22.68084853125
True,piano,64,54,21.81816,22.68084853125
False,piano,64,61,22.272705000000002,22.72630303125
False,piano,64,61,22.72725,22.95357553125
False,piano,76,58,22.72725,23.63539303125
False,piano,76,60,22.72725,23.63539303125
False,piano,76,61,22.72725,23.63539303125
False,piano,76,65,22.72725,23.63539303125
True,piano,76,44,22.72725,23.63539303125
True,piano,76,56,22.72725,23.63539303125
False,piano,64,58,22.9545225,23.18084803125
False,piano,64,61,23.181795,23.63539303125
False,piano,64,63,23.63634,24.08993803125
False,piano,64,58,23.63634,27.95357053125
False,piano,64,61,23.63634,27.95357053125
False,piano,64,63,23.63634,27.95357053125
False,piano,64,65,23.63634,27.95357053125
True,piano,64,46,23.63634,27.95357053125
True,piano,64,58,23.63634,27.95357053125
False,piano,64,65,24.090885,24.31721053125
False,piano,64,63,24.3181575,24.99902803125
False,piano,64,61,24.999975,25.22630053125
False,piano,64,58,25.2272475,25.453573031250002
False,piano,64,56,25.45452,25.68084553125
False,piano,58,56,25.6817925,25.90811803125
False,piano,52,61,25.909065000000002,26.36266303125
False,piano,40,61,26.36361,26.58993553125
False,piano,34,58,26.5908825,26.81720803125
False,piano,28,63,26.818155,27.27175303125
False,piano,16,58,27.2727,27.95357053125
False,piano,76,63,27.9545175,28.18084303125
False,piano,76,63,28.18179,28.40811553125
False,piano,64,65,28.18179,29.089933031250002
False,piano,76,58,28.18179,29.089933031250002
False,piano,76,61,28.18179,29.089933031250002
False,piano,76,65,28.18179,29.089933031250002
True,piano,76,41,28.18179,29.089933031250002
True,piano,76,53,28.18179,29.089933031250002
False,piano,64,61,28.4090625,29.089933031250002
False,piano,49,65,29.090880000000002,29.77175053125
False,piano,49,70,29.090880000000002,35.45356303125
False,piano,64,54,29.090880000000002,35.13538153125
False,piano,64,58,29.090880000000002,35.13538153125
False,piano,64,61,29.090880000000002,35.13538153125
False,piano,64,65,29.090880000000002,35.13538153125
True,piano,76,30,29.090880000000002,35.22629053125
True,piano,76,42,29.090880000000002,35.22629053125
False,piano,96,42,29.090880000000002,29.54447803125
False,piano,96,46,29.545425,29.99902303125
False,piano,49,61,29.7726975,29.99902303125
False,piano,49,68,29.99997,30.22629553125
False,piano,115,38,29.99997,30.45356803125
False,piano,49,65,30.2272425,30.45356803125
False,piano,49,65,30.454515,35.45356303125
False,piano,96,42,30.454515,30.90811303125
False,piano,96,42,30.90906,31.13538553125
False,piano,115,38,31.1363325,31.36265803125
False,piano,96,46,31.363605,31.81720303125
False,piano,80,56,31.5908775,31.70356678125
False,piano,80,58,31.70451375,31.81720303125
False,piano,80,61,31.81815,32.15811178125
False,piano,115,38,31.81815,32.27174803125
False,piano,80,60,32.15905875,32.499020531250004
False,piano,96,42,32.272695,32.38538428125
False,piano,96,42,32.38633125,32.499020531250004
False,piano,80,58,32.499967500000004,32.61265678125
False,piano,80,56,32.61360375,32.72629303125
False,piano,80,60,32.72724,33.18083803125
False,piano,96,42,32.72724,32.95356553125
False,piano,96,46,32.9545125,33.18083803125
False,piano,80,56,33.181785,33.294474281250004
False,piano,96,42,33.181785,33.40811053125
False,piano,80,56,33.295421250000004,34.089928031250004
False,piano,96,42,33.4090575,33.63538303125
False,piano,115,38,33.63633,34.089928031250004
False,piano,80,53,34.090875000000004,34.31720053125
False,piano,96,42,34.090875000000004,34.31720053125
False,piano,115,38,34.3181475,34.54447303125
False,piano,96,42,34.54542,34.77174553125
False,piano,115,38,34.7726925,34.99901803125
False,piano,96,46,34.999965,35.45356303125
False,piano,49,68,35.45451,36.36265303125
False,piano,49,73,35.45451,36.36265303125
False,piano,49,61,35.45451,36.36265303125
False,piano,49,65,35.45451,36.36265303125
False,piano,80,61,35.45451,35.79447178125
False,piano,76,53,35.45451,36.36265303125
False,piano,76,56,35.45451,36.36265303125
False,piano,76,60,35.45451,36.36265303125
False,piano,76,63,35.45451,36.36265303125
False,piano,76,65,35.45451,36.36265303125
True,piano,76,29,35.45451,36.36265303125
True,piano,76,41,35.45451,36.36265303125
False,piano,115,38,35.45451,35.90810803125
False,piano,80,60,35.79541875,36.13538053125
